cntry;perceived;real;biaspts;biaspct;n
Austria;19.82;12.48;7.34;58.83;1623
Belgium;22.42;10.68;11.74;109.97;1711
Denmark;9.95;6.73;3.22;47.87;1828
Finland;6.61;2.54;4.07;160.23;1876
France;27.01;10.03;16.98;169.34;1665
Germany;19.53;11.12;8.41;75.67;1742
Greece;19.93;10.27;9.66;94.03;1605
Ireland;14.57;10.38;4.19;40.32;1742
Italy;17.65;3.93;13.72;349.13;1875
Luxembourg;39.21;32.45;6.76;20.83;1118
The Netherlands;23.21;10.10;13.11;129.76;1781
Norway;12.07;7.33;4.74;64.70;1804
Portugal;20.63;6.29;14.34;228.03;1758
Spain;16.06;5.32;10.74;201.87;1790
Sweden;19.91;12.01;7.90;65.76;1720
Switzerland;27.12;21.55;5.57;25.85;1545
United Kingdom;23.54;8.28;15.26;184.26;1709
